type	lambda_mu	lambda_sigma	odr_length	p_mu	p_sd	p_min	p_max	p_max_min	spread	r_mu	r_sd	r_kt	r_acf	abs_r_acf	trd_sum	trd_mu	trd_ll_sum	trd_lh_sum	trd_hh_sum	depth_buy_mu	depth_buy_min	depth_buy_q1	depth_buy_q2	depth_buy_q3	depth_buy_max	depth_sell_mu	depth_sell_min	depth_sell_q1	depth_sell_q2	depth_sell_q3	depth_sell_max	pos_r_max	neg_r_max	hft_asset_mu	hft_asset_sd	hft_freq_mu	hft_s_mean	hft_s_sd	hft_s_min	hft_s_max	hft_pos_s_mu	hft_neg_s_mu	lft_bodr_vol_sum	lft_sodr_vol_sum	lft_p_mean	lft_p_stdev	lft_p_min	lft_p_max	lft_p_max_min
ST	NA	NA	0	99.97533315	1.44132781	96.51025	103.516	7.01E+00	1.638272475	6.00E-07	0.014926615	1.720836852	-0.414275873	0.308908328	32834.5	5.50646447	32834.5	0	0	1981.5	783.5	1707	2067.5	2316	2712.5	1933.5	789	1673	2001	2281	2693.5	0.059624794	0.059984291	NA	NA	NA	NA	NA	NA	NA	NA	NA	45497	45175.5	99.9674308	3.239831369	86.0935	116.20675	31.123
SMM	0.1	0	0	99.98255909	0.730139546	97.853	102.131	4.28E+00	0.901567813	-1.71E-07	0.005022837	7.454741438	-0.399695269	0.376477633	40833.5	4.463410736	17304	23461.5	28.5	3035	1205.5	2633.5	3227	3592	4046.5	3052	1265	2626	3180.5	3583.5	4121	0.032633322	0.033394982	712.2238906	92.81239901	0.1	0.21345	25.26456293	-79	80	20.52068635	-20.47186155	45566.5	45476.5	99.99131156	3.121739969	86.1015	116.182	30.36375
SMM	0.2	0	0	99.96479805	0.582510481	98.3376	101.7	3.34E+00	0.637017946	-1.85E-07	0.002313491	19.00528167	-0.280581878	0.283757748	42793	4.422597393	12834	29782.5	191	3454	1416	3005	3635	4043	4616	3462.5	1350.5	2907	3653.5	4103	4697.5	0.022959555	0.023035619	501.8859134	78.97192871	0.2	-0.84795	27.13448078	-87.5	86	21.78837001	-22.35049051	45574	45700.5	99.9681311	3.103918947	86.43125	115.9555	30.08225
SMM	0.3	0	0	99.97333401	0.562331236	98.51365	101.59075	3.11E+00	0.583357179	-1.50E-07	0.00168441	31.53827108	-0.14537032	0.156466707	43266	4.473287111	11985.5	30913.5	382.5	3544	1461	3105	3786.5	4206	4816.5	3512	1373.5	3034	3691	4105.5	4661.5	0.020085547	0.020540735	406.9413921	75.69516139	0.3	-1.6415	27.95782618	-88.5	88	22.7071688	-23.18142217	45649.5	45553.5	99.97317652	3.102724279	86.0835	115.602	30.665
SMM	0.4	0	0	99.98049353	0.559928955	98.4594	101.50985	3.02E+00	0.566951884	-1.29E-07	0.001520127	35.73260908	-0.068494772	0.076050972	43190	4.508467474	11658.5	30995	638.5	3566.5	1415.5	3031	3776.5	4207.5	4775	3451	1457	3005	3637.5	3982.5	4556	0.018693538	0.018862859	339.5189619	77.46288119	0.4	-1.217	28.16824068	-88.5	91	22.88219686	-23.401121	45404.5	44986	99.97899744	3.100246904	85.77525	116.2365	30.585
SMM	0.5	0	0	99.96877044	0.485786658	98.7529	101.2194	2.51E+00	0.42633237	-1.32E-07	0.001026671	51.46407151	-0.038140041	0.049739888	44886	4.455810756	9436.5	34122.5	1374	3707	1522	3199.5	3903	4386.5	5094.5	3702.5	1436.5	3157	3907	4379	4994.5	0.014692005	0.015040611	292.3088851	69.80863267	0.5	-0.5933	28.89794968	-93	93.5	23.45463792	-23.63906056	45480.5	45254.5	99.97066413	3.097114279	85.87075	116.216	30.94475
SMM	0.6	0	0	99.9546426	0.634143911	98.24625	101.71675	3.45E+00	0.650419241	2.90E-08	0.001920158	33.1255969	-0.038346758	0.032452585	43636	4.661515341	13784.5	28981.5	881.5	3360	1350	2913.5	3516.5	3956.5	4468.5	3314.5	1353	2814	3465.5	3890.5	4516.5	0.023724975	0.022722746	270.2638911	86.84216139	0.6	-1.8425	26.43494359	-85	85	20.87160041	-22.16264797	45697	45418	99.95109748	3.1068145	85.634	115.861	30.498
SMM	0.7	0	0	99.97983075	0.568799329	98.4646	101.5565	3.09E+00	0.557165324	-2.69E-07	0.001490618	39.78223771	-0.02987717	0.02824191	44212	4.578014868	11891.5	31025	1411	3593	1427	3030.5	3825.5	4194	4796	3430	1370.5	2977	3623.5	4079	4605.5	0.019250424	0.019758881	278.6427396	79.67283564	0.7	0.31185	26.43890942	-84	89	21.98021207	-21.68349205	45794	45330.5	99.99426272	3.099113628	86.96475	116.41	30.18675
SMM	0.8	0	0	99.95931263	0.536033022	9.86E+01	101.3228	2.80E+00	0.473835482	-8.00E-08	0.001243879	46.26839003	-0.023916769	0.031448275	46234	4.540978714	10503	33280	2363	3690.5	1463	3198.5	3921.5	4274.5	4963	3588	1417	3129	3800	4180.5	4779	0.016813929	0.017169476	233.0037262	72.08806584	0.8	-2.0645	28.92799947	-94.5	92.5	23.73456913	-24.23146589	45764	45480.5	99.97829139	3.092923473	86.138	115.6705	30.857
SMM	0.9	0	0	99.97829648	0.483624068	9.88E+01	101.26115	2.5721	0.402880653	-1.75E-07	0.000957926	52.28489039	-0.019278757	0.024627287	47322	4.504897766	9213.5	34648	3420	3810.5	1520	3337.5	3976	4485.5	5059.5	3731.5	1454	3205	3952	4378.5	5022	0.014196755	0.01404718	213.7851762	74.62941287	0.9	-0.27721	29.38965391	-93	96.5	24.08648902	-23.93658518	45445.5	45347.5	99.97020402	3.094393434	85.79825	115.4965	30.37625
SMM	1	0	0	99.95484595	0.464903455	9.88E+01	101.1234	2.3589	0.347506834	-6.15E-08	0.000816581	59.26763788	-0.017264999	0.020119052	49432.5	4.491783936	8290.5	36117	5112	3876	1558.5	3328.5	4075	4559.5	5155.5	3827.5	1535	3349	3992	4535.5	5140	0.013046123	0.012703267	178.4159851	69.14589208	1	-1.0393	30.43023403	-99	96	24.40845656	-25.7791648	45702.5	45657.5	99.96952403	3.097218696	85.594	116.11775	30.901
																																																	
																																																	
PMM	0.1	0	0	99.98319897	0.820980332	97.62225	102.31575	4.73125	0.990695022	1.87E-07	0.005724577	7.377262738	-0.37963667	0.357165603	40024.5	4.491252171	19338	20765.5	0	2859.5	1157	2451	2998	3353	3924.5	2854	1195.5	2533.5	2988.5	3370.5	3883.5	0.037255282	0.037808122	480.7945129	95.63087525	0.1	-5.754	12.64572464	-51	44	8.748138677	-12.6737402	45402	45432.5	100.0118832	3.1313265	85.4765	116.794	30.76
PMM	0.2	0	0	99.98620905	0.67678258	98.01325	101.9765	3.94835	0.760844511	2.37E-07	0.002999082	17.17168961	-0.261122827	0.264776782	41767	4.43860147	15509.5	26264.5	9.5	3091.5	1249.5	2605.5	3231	3643.5	4177	3174	1256	2739	3317	3681.5	4267	0.027509689	0.028073177	284.761946	79.13196832	0.2	-6.2165	11.72807113	-49	39	7.698032403	-12.22350672	45294.5	45603	99.99288421	3.109117321	86.68275	115.5995	29.42725
PMM	0.3	0	0	99.98461457	0.693294629	98.08475	101.9695	3.8817	0.737005389	1.51E-09	0.002483383	24.53481269	-0.129170186	0.134220531	41975	4.529092252	15430.5	26843	18.5	3109	1296	2712.5	3275.5	3643	4259.5	3181	1246.5	2690	3345	3685	4271	0.026064298	0.026621523	194.6338792	77.09532079	0.3	-7.3455	10.63432622	-46	34	6.593610114	-12.10046329	45532.5	45780	99.97397086	3.115676788	86.26925	116.27	31.5775
PMM	0.4	0	0	99.96796254	0.702722402	98.0779	101.9053	3.8368	0.750623236	3.15E-08	0.002397012	28.70128069	-0.07115071	0.066049596	41819.5	4.59032868	15756	26038.5	22	3053.5	1271	2629	3233.5	3590.5	4211.5	3107	1181	2619	3270	3688	4250	0.027399376	0.027320369	159.4538238	79.32546782	0.4	-8.075	9.920545071	-43	30	5.769257418	-11.9319623	45453.5	45414	99.97077272	3.112422576	86.2905	115.9955	30.236
PMM	0.5	0	0	99.98068719	0.608039434	98.36555	101.651	3.2768	0.582102928	-1.35E-08	0.00162714	39.97559322	-0.041607634	0.051162509	43250	4.505861082	12718.5	30240	147.5	3349	1379	2893.5	3536	3939.5	4538	3511	1369	3030	3666	4161.5	4775.5	0.021089068	0.020818387	117.4812683	74.37820792	0.5	-7.654	11.45455852	-46.5	37	7.362668246	-12.72006767	45500	45869	99.98908898	3.111567968	85.94675	116.15125	30.3415
PMM	0.6	0	0	99.98099682	0.797943879	97.77125	102.18175	4.41205	0.910820036	1.21E-07	0.003211313	22.60405495	-0.04670448	0.025650057	40970	4.754201677	18493.5	22449	10.5	2894.5	1145	2495	3062.5	3400.5	3883.5	2871	1146.5	2447.5	3024	3408	3885.5	0.031669138	0.032452937	83.74461238	81.19053218	0.6	-8.809	8.483255613	-37	22	4.331709697	-11.47036645	45522	45471.5	99.96003236	3.132908959	86.17075	116.51775	30.6915
PMM	0.7	0	0	99.97935357	0.741605716	97.96855	101.98755	4.0044	0.791506167	-1.38E-08	0.00258305	27.56449518	-0.03709325	0.026595056	41901	4.68908618	16441	25349.5	32.5	3071	1243	2657	3260.5	3647	4197	3117	1224.5	2623	3268.5	3606	4217	0.027841205	0.028191276	81.92180495	79.40674851	0.7	-8.727	8.7665202	-39	24.5	4.726438159	-11.62356354	45704	45756.5	99.98055876	3.126791134	86.29375	116.36525	30.54125
PMM	0.8	0	0	99.97772529	0.670989996	98.1705	101.80365	3.65275	0.686266307	2.31E-07	0.002061928	34.35406552	-0.02807511	0.023110403	42723	4.619831442	14515	27956.5	131.5	3246	1284.5	2714	3350.5	3846	4400.5	3214	1293	2803.5	3406	3819.5	4378.5	0.02451397	0.024728639	59.38573861	75.69133564	0.8	-8.5235	9.465651703	-41	26	5.340011158	-11.95491632	45615	45590	99.98344752	3.108600586	86.46575	116.0545	30.10425
PMM	0.9	0	0	99.96939259	0.615136052	98.3209	101.63225	3.2952	0.579020808	2.13E-07	0.001656406	40.22194533	-0.024478776	0.026074577	43150.5	4.547840703	12705.5	30078.5	344.5	3395	1355	2910	3563	3888	4493	3419.5	1297.5	2904	3628	4008	4585.5	0.021319661	0.021146781	52.71879901	69.97793812	0.9	-8.182	10.20113666	-42	30	6.100338452	-12.38772401	45374	45513	99.98344035	3.106546878	85.5695	115.31675	30.2965
PMM	1	0	0	99.98119608	0.578380312	98.466	101.52225	3.02835	0.513429214	1.39E-09	0.001363222	47.97816634	-0.017308942	0.021050963	44215	4.502933905	11444.5	31991.5	822.5	3521	1356.5	3095.5	3768	4144	4647.5	3533.5	1379	3016	3701.5	4118.5	4671	0.018553877	0.018677593	80.84127426	58.34119059	1	-7.7995	11.66368159	-44.5	34	7.265315375	-12.94376133	45326	45519.5	100.0049691	3.106226391	86.31525	116.429	30.0415
